loco_number,current_operator,vehicle_description,train_id,route,date_time_added,last_seen,lat,lon,source
C502,,SSR Containerised Freight,8178,"8178 Grainforce Siding, Kelso Port Botany",2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-33.903407,151.073827,trains.json
C504,,C504,C504,C504,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-34.869537,147.583973,trains.json
C506,,SSR Containerised Freight,8178,"8178 Grainforce Siding, Kelso Port Botany",2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-33.96349,151.219747,trains.json
C509,,SSR Cement Clinker,2243,2243 Maldon Cement Works Berrima Cement Works,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-34.509697,150.332693,trains.json
CEY004,,SSR Coal,VP04,VP04 Airly / Clarence Vales Point,2026-04-29T17:19:50.671764Z,2026-04-30T00:02:48.407086Z,-33.408383,150.05544,trains.json
CEY006,,SSR Coal,CA13,CA13 NCIG Kooragang / Inner Harbour Clarence,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-33.46646,150.24656,trains.json
CEY007,,SSR Loaded Aggregates,2186,"2186 Peppertree Quarry Boral, Enfield",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.478093,150.416667,trains.json
CF4401,,Aurizon Loaded Grain,5456,5456 North West NSW Carrington,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-32.664213,151.352307,trains.json
CF4405,,SSR Empty Aggregates,1289,"1289 Boral, Cooks River Peppertree Quarry",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-33.921153,151.169373,trains.json
CF4410,,SSR Loaded Aggregates,2188,"2188 Peppertree Quarry Boral, Cooks River",2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-33.919823,151.168667,trains.json
CF4412,,QUBE Grain,8968,8968 Western NSW Port Kembla / Inner Harbour,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-31.84582,147.731293,trains.json
CF4420,,QUBE Container Train,3112,3112 RIFL (Bomen) Moorebank IMEX Terminal / Cooks River,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.865,147.585027,trains.json
CF4421,,QUBE BlueScope Steel,5WB7,5WB7 Port Kembla Acacia Ridge,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-31.914873,152.04176,trains.json
CF4424,,,4551,4551,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-30.319803,149.7896,trains.json
CF4425,,Aurizon Loaded Ore (diverted 8402),8456,8456 Hermidale Carrington,2026-04-29T17:19:50.671764Z,2026-04-29T18:02:14.194502Z,-32.911433,151.77092,trains.json
CF4427,,AZ Coal,WH945,WH945 NCIG Kooragang Whitehaven,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-30.954567,150.204453,trains.json
CF4429,,SCT Intermodal,3PG1,"3PG1 SCT, Forrestfield SCT, Parkes",2026-04-29T17:31:31.316802Z,2026-04-29T23:45:49.028656Z,-30.762807,129.0106,trains.json
CLF2,,SSR Limestone,2277,2277 Berrima Cement Works Marulan South Quarry,2026-04-30T00:32:55.361185Z,2026-04-30T00:32:55.361185Z,-34.715063,150.04464,trains.json
CLP12,,SSR Grain,5MC5,5MC5 Appleton Dock Southern NSW,2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-34.86952,147.584013,trains.json
CLP13,,SSR Limestone,2274,2274 Marulan South Quarry Berrima Cement Works,2026-04-29T17:19:50.671764Z,2026-04-29T23:45:49.028656Z,-34.509757,150.34316,trains.json
CM3304,,SSR Shunter,SHNT,SHNT,2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-34.200053,150.645507,trains.json
CSR010,,SCT Shunter,SHUNT,SHUNT,2026-04-29T17:19:50.671764Z,2026-04-29T17:19:50.671764Z,-37.864803,144.76768,trains.json
CSR015,,SCT Intermodal,2MP9,"2MP9 SCT, Laverton SCT, Forrestfield",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-30.946467,119.369027,trains.json
CSR017,,SCT Intermodal,4PM9,"4PM9 SCT, Forrestfield SCT, Laverton",2026-04-30T00:02:48.407086Z,2026-04-30T00:32:55.361185Z,-31.789807,116.046507,trains.json
CSR019,,SCT Intermodal,4MP9,"4MP9 SCT, Laverton SCT, Forrestfield",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-35.01141,138.745747,trains.json
CSR020,,SCT Intermodal,4BM9,"4BM9 SCT, Bromelton SCT, Laverton",2026-04-29T17:19:50.671764Z,2026-04-30T00:32:55.361185Z,-33.53638,151.228893,trains.json
